,Town_Code,Year,_2010_Census_Units,Government_Assisted,Tenant_Rental_Assistance,_Single_Family_CHFA_USDA_Mortgages,Deed_Restricted_Units,Total_Assisted_Units,prediction
117,0,0,0,1,1,1,0,0,2
118,0,0,0,1,1,1,0,1,2
119,0,0,0,1,1,1,0,2,2
120,0,0,0,1,1,1,1,0,2
121,0,0,0,1,1,1,1,1,2
122,0,0,0,1,1,1,1,2,2
123,0,0,0,1,1,1,2,0,2
124,0,0,0,1,1,1,2,1,2
125,0,0,0,1,1,1,2,2,2
126,0,0,0,1,1,2,0,0,2
127,0,0,0,1,1,2,0,1,2
128,0,0,0,1,1,2,0,2,2
129,0,0,0,1,1,2,1,0,2
130,0,0,0,1,1,2,1,1,2
131,0,0,0,1,1,2,1,2,2
132,0,0,0,1,1,2,2,0,2
133,0,0,0,1,1,2,2,1,2
134,0,0,0,1,1,2,2,2,2
135,0,0,0,1,2,0,0,0,2
136,0,0,0,1,2,0,0,1,2
137,0,0,0,1,2,0,0,2,2
138,0,0,0,1,2,0,1,0,2
139,0,0,0,1,2,0,1,1,2
140,0,0,0,1,2,0,1,2,2
141,0,0,0,1,2,0,2,0,2
142,0,0,0,1,2,0,2,1,2
143,0,0,0,1,2,0,2,2,2
144,0,0,0,1,2,1,0,0,2
145,0,0,0,1,2,1,0,1,2
146,0,0,0,1,2,1,0,2,2
147,0,0,0,1,2,1,1,0,2
148,0,0,0,1,2,1,1,1,2
149,0,0,0,1,2,1,1,2,2
150,0,0,0,1,2,1,2,0,2
151,0,0,0,1,2,1,2,1,2
152,0,0,0,1,2,1,2,2,2
153,0,0,0,1,2,2,0,0,2
154,0,0,0,1,2,2,0,1,2
155,0,0,0,1,2,2,0,2,2
156,0,0,0,1,2,2,1,0,2
157,0,0,0,1,2,2,1,1,2
158,0,0,0,1,2,2,1,2,2
159,0,0,0,1,2,2,2,0,2
160,0,0,0,1,2,2,2,1,2
161,0,0,0,1,2,2,2,2,2
162,0,0,0,2,0,0,0,0,4
163,0,0,0,2,0,0,0,1,4
164,0,0,0,2,0,0,0,2,2
165,0,0,0,2,0,0,1,0,4
166,0,0,0,2,0,0,1,1,4
